,Jogador,Equipa,Posição,Idade,Valor de mercado,Contrato termina,Partidas jogadas,Minutos jogados:,Golos,Golos esperados,Naturalidade,País de nacionalidade,Pé,Altura,Peso,Emprestado
2,Da Silva,Red Bull Bragantino,"RCB, LCB, CB",22,500000,2024-12-31,7,538,0,0.28,Brazil,Brazil,direito,192,82,sim
3,Rodrigo Moledo,Internacional,"RCB, LCB",36,500000,2023-12-31,27,2055,1,1.75,Brazil,Brazil,direito,188,84,sim
4,Gabriel Pereira,Gil Vicente,"RCB, LCB",23,500000,2026-06-30,25,2266,1,1.34,Brazil,Brazil,direito,188,86,sim
5,Bruno Uvini,Grêmio,"RCB, LCB",32,500000,2023-12-31,29,2476,2,2.6,Brazil,"Brazil, Italy",direito,188,85,sim
6,Mansur,Estrela Amadora,LCB,30,500000,2025-06-30,24,2239,1,1.3,Brazil,Brazil,esquerdo,181,74,sim
7,Emerson Santos,Atlético GO,"LCB, RCB, RB",28,500000,2025-01-01,26,1626,0,0.54,Brazil,Brazil,direito,184,75,sim
8,Camutanga,Vitória,"RCB, LCB, CB",30,500000,2023-11-30,46,4272,3,2.38,Brazil,Brazil,direito,189,80,sim
9,Matheus Costa,Marítimo,"RCB, LCB",28,500000,2026-06-30,24,1840,2,3.42,Brazil,"Brazil, Portugal",direito,188,82,sim
10,Márcio Silva,Botafogo SP,LCB,22,500000,2025-08-31,35,3243,0,1.86,Brazil,Brazil,esquerdo,192,85,sim
12,Rafael Thyere,Sport Recife,RCB,30,500000,2024-12-31,54,5416,5,3.89,Brazil,Brazil,direito,189,86,sim
15,Matheus Pereira,Oita Trinita,RCB,26,500000,2025-01-31,30,2689,2,2.16,Brazil,Brazil,direito,184,83,sim
17,Edu,Goiás,"RCB, LCB",23,500000,2024-06-30,20,1183,0,0.59,Brazil,Brazil,direito,185,88,sim
18,Maicon,Vasco da Gama,"RCB, LCB",35,500000,2023-12-31,25,2093,0,1.22,Brazil,"Brazil, Portugal",direito,191,80,sim
20,Roberto,Avaí,"RCB, LCB",25,500000,2023-11-30,30,2598,0,1.04,Brazil,Brazil,direito,188,88,sim
21,Paulo Ricardo,Al Hazem,RCB,29,500000,2023-12-31,23,2288,0,0.8,Brazil,Brazil,direito,186,80,sim
22,Marllon,Cuiabá,RCB,31,500000,2023-12-31,37,3797,2,2.81,Brazil,Brazil,direito,186,75,sim
23,Artur,Ponte Preta,"LB, LCB",29,500000,2023-11-30,48,4765,0,1.93,Brazil,Brazil,esquerdo,178,75,sim
24,Vitor Mendes,Fluminense,"RCB, LCB",24,450000,2024-12-31,13,798,1,0.7,Brazil,Brazil,direito,186,75,sim
25,Léo Borges,Pogoń Szczecin,"LB, LCB",22,450000,2025-06-30,19,754,0,0.16,Brazil,Brazil,esquerdo,179,73,sim
26,Clayton,AVS ,"RCB, LCB, RB",23,450000,2024-06-30,40,3725,3,2.61,Brazil,Brazil,direito,187,81,sim
27,Marcelo Alves,Sochi,"CB, LCB, RCB",25,450000,2024-06-30,38,2987,3,1.34,Brazil,Brazil,direito,192,88,sim
29,Pedro Barcelos,Mafra,LCB,27,425000,2024-06-05,29,2315,0,0.22,Brazil,Brazil,esquerdo,188,80,sim
30,Valdo,V-Varen Nagasaki,RCB,31,400000,2025-01-31,13,1231,0,0.99,Brazil,Brazil,direito,183,77,sim
31,Lucas Mezenga,Tondela,"RCB, LCB",21,400000,2024-12-31,3,216,0,0.04,Brazil,Brazil,direito,185,78,sim
32,Maurício Antônio,Coritiba,"LCB, CB",31,400000,2024-06-30,19,1852,0,0.29,Brazil,"Brazil, Portugal",direito,183,82,sim
33,Tiago Pagnussat,Ceará,RCB,33,400000,2024-12-31,39,3806,2,2.7,Brazil,"Brazil, Italy",direito,191,88,sim
34,Luiz Otávio,Ceará,"LCB, RCB",35,400000,2023-12-31,29,2790,3,1.24,Brazil,Brazil,direito,190,84,sim
36,Lucão,Guarani,"LCB, RCB",27,400000,2023-11-30,48,4786,0,1.37,Brazil,Brazil,direito,187,80,sim
37,R. Hillen,De Graafschap,LCB,20,400000,2024-06-30,37,3444,2,3.56,Netherlands,"Netherlands, Brazil",esquerdo,187,74,sim
38,Chico,Sport Recife,LCB,25,400000,2024-12-31,19,1408,0,0.52,Brazil,Brazil,esquerdo,188,80,sim
39,Rodrigo Freitas,Chapecoense,"LCB, RCB",25,400000,2023-11-30,32,3168,2,1.0,Brazil,Brazil,direito,189,82,sim
40,Thiago Santos,Fluminense,"LDMF, RCB, CB",34,400000,2024-12-31,25,1004,0,0.55,Brazil,Brazil,direito,181,78,sim
41,Heron,Atlético GO,"LCB, LB",23,400000,2024-12-31,35,2939,0,0.84,Brazil,Brazil,esquerdo,186,78,sim
46,Manoel,Fluminense,"RCB, LCB",33,400000,2024-12-31,19,1441,0,0.57,Brazil,Brazil,direito,181,82,sim
47,Renan,Shabab Al Ahli Dubai,"LCB, LB",21,400000,2025-12-31,19,1795,3,1.9,Brazil,Brazil,esquerdo,184,69,sim
49,Rafael Santos,Moreirense,LCB,25,375000,2025-06-30,14,1203,1,0.38,Brazil,Brazil,esquerdo,190,85,sim
50,Wellington,Avaí,"RCB, DMF, LCB",28,350000,2023-12-31,12,1119,0,0.13,Brazil,Brazil,direito,187,90,sim
55,Henrique Trevisan,Tokyo,"LCB, CB",26,350000,2024-01-31,28,2564,2,3.7,Brazil,"Brazil, Italy",esquerdo,185,78,sim
56,Filipe Luis,Flamengo,"LB, LCB",38,350000,2023-12-31,17,1047,0,0.07,Brazil,"Brazil, Poland",esquerdo,182,74,sim
57,Romércio,Juventude,"RCB, CB, LCB",26,350000,2023-12-31,28,2232,1,0.93,Brazil,Brazil,direito,185,78,sim
58,Victor,BG Pathum United FC,CB,33,350000,2024-05-31,29,2843,10,7.04,Brazil,Brazil,direito,0,0,sim
61,Derlan,Oita Trinita,LCB,27,350000,2025-01-31,31,2518,0,2.61,Brazil,Brazil,esquerdo,187,80,sim
62,Mateus Brunetti,DAC,LCB,23,350000,2025-06-30,24,1829,1,1.24,Brazil,"Brazil, Italy",esquerdo,182,77,sim
63,Mendes,JEF United,LCB,28,350000,2024-01-31,5,317,1,0.2,Brazil,Brazil,esquerdo,190,83,sim
64,Cláudio Falcão,Farense,"DMF, RCMF, RCB",29,350000,2024-06-30,32,2664,5,2.59,Brazil,"Brazil, Portugal",direito,187,79,sim
66,Eduardo Thuram,Aparecidense,LCB,26,350000,2023-12-31,10,618,0,0.41,Brazil,Brazil,esquerdo,189,84,sim
67,Thiago Oliveira,Ponte Preta,"LCB, RCB",21,350000,2025-12-31,11,1034,1,0.83,Brazil,Brazil,direito,183,77,sim
68,Jordan,Zorya,"RCB, LCB",24,350000,2024-12-31,32,2950,1,2.38,Brazil,Brazil,direito,190,81,sim
69,Raphael,Radomiak Radom,"RCB, CB",33,350000,2024-06-30,27,2398,1,2.12,Brazil,"Brazil, Italy",direito,190,84,sim
71,L. Monzón,Danubio,LCB,22,325000,2023-12-31,21,1883,0,0.18,Brazil,"Brazil, Uruguay",esquerdo,184,78,sim
72,Cleberson,Madura United,"LCB, RCB",31,325000,2024-01-20,36,3406,0,3.2,Brazil,Brazil,direito,185,75,sim
73,Alan Costa,Avaí,"RCB, LCB",33,325000,2023-12-31,32,2601,1,1.71,Brazil,Brazil,direito,194,82,sim
76,Cléber Reis,USAC,"RCB, CB",32,300000,2024-01-07,19,1745,1,1.08,Brazil,Brazil,direito,187,94,sim
79,Renato Augusto,Shimizu S-Pulse,"RDMF, RCB, RCMF",31,300000,2024-01-31,3,164,0,0.15,Brazil,Brazil,direito,185,81,sim
82,Ricardo Silva,América Mineiro,"RCB, LCB",31,300000,2023-12-31,32,2908,1,1.4,Brazil,Brazil,direito,190,84,sim
85,Ítalo,Ural,LCB,21,300000,2026-06-30,25,2167,0,1.17,Brazil,Brazil,esquerdo,191,78,sim
86,Geromel,Grêmio,"RCB, CB",38,300000,2023-12-31,6,475,0,0.0,Brazil,"Brazil, Italy",direito,190,84,sim
87,Zé Marcos,Juventude,LCB,25,300000,2023-12-31,27,2469,0,2.43,Brazil,Brazil,esquerdo,188,77,sim
88,Danilo Avelar,América Mineiro,"LB, LCB",34,300000,2023-12-31,40,2843,4,5.12,Brazil,"Brazil, Italy",esquerdo,184,79,sim
89,Edimar,CRB,"LB, LCB",37,300000,2023-12-31,18,1165,0,0.24,Brazil,Brazil,esquerdo,183,74,sim
91,L. Felipe,West Florida Argos,"RCB, LCB",22,300000,2024-11-30,7,382,1,0.72,Brazil,Brazil,direito,186,79,sim
92,Lucas Gazal,Atlético GO,RCB,24,300000,2024-06-30,39,3718,1,1.99,Brazil,Brazil,direito,187,86,sim
93,Wanderson,América Mineiro,"RCB, LCB, CB",32,300000,2024-12-31,17,1401,0,0.35,Brazil,Brazil,direito,186,83,sim
95,Alan,Lokomotiv Sofia 1929,"RCB, LCB",25,300000,2024-06-30,29,2674,2,1.66,Brazil,Brazil,direito,191,78,sim
96,Anderson Conceição,CRB,LCB,34,300000,2024-12-31,23,2025,1,0.71,Brazil,Brazil,esquerdo,188,75,sim
97,Fabio Alemão,CRB,"RCB, LCB",27,300000,2023-12-31,41,3949,4,2.93,Brazil,Brazil,direito,184,87,sim
99,Gabriel Mentz,Gzira United,LCB,25,300000,2026-06-30,21,1899,3,2.82,Brazil,Brazil,direito,185,0,sim
100,Sidimar,Goiás,"LCB, RCB",31,300000,2024-12-31,34,2566,0,0.83,Brazil,Brazil,direito,186,88,sim
101,Eduardo Brock,Cerro Porteño,LCB,32,300000,2023-12-31,35,2850,0,1.52,Brazil,"Brazil, Italy",esquerdo,186,89,sim
105,Thalisson,Coritiba,RCB,21,300000,2025-12-31,3,315,0,0.0,Brazil,Brazil,direito,190,79,sim
107,Luciano Castán,Cruzeiro,LCB,34,300000,2023-12-31,45,4540,1,1.71,Brazil,"Brazil, Italy",esquerdo,187,80,sim
109,Renan Alves,Barito Putera,"RCB, CB",30,300000,2023-12-31,39,3813,7,7.11,Brazil,Brazil,direito,183,80,sim
110,Fábio Sanches,Ponte Preta,"LCB, RCB",32,300000,2023-11-30,33,3000,0,1.56,Brazil,Brazil,direito,186,85,sim
111,Gustavo Alemão,Al Nasr,"LCB, RCB",23,300000,2023-12-29,15,1277,1,1.88,Brazil,Brazil,direito,186,0,sim
112,Klaus,RWD Molenbeek,"CB, RCB",29,300000,2024-06-30,10,935,0,0.25,Brazil,Brazil,direito,187,79,sim
114,Renan,Renofa Yamaguchi,"LCB, CB",27,275000,2024-01-31,27,2568,1,1.03,Brazil,Brazil,esquerdo,183,80,sim
115,Jaime,Persis Solo,"RCB, CB, LCB",33,275000,2024-05-31,31,2849,2,1.84,Brazil,Brazil,direito,185,84,sim
120,Bueno,Kashiwa Reysol,RCB,28,250000,2025-01-31,1,27,0,0.0,Brazil,Brazil,direito,182,79,sim
121,Guilherme Café,Marília,RCB,26,250000,2024-04-30,18,1559,0,0.05,Brazil,Brazil,direito,187,80,sim
124,Gilvan,América RN,"LCB, CB",33,250000,2023-12-31,14,880,2,0.89,Brazil,Brazil,esquerdo,188,77,sim
125,Ronaldo Alves,Ferroviária,"RCB, LCB",34,250000,2023-12-31,9,811,0,0.51,Brazil,Brazil,direito,187,89,sim
126,Barbosa,Ilioupoli,"CB, RCB",24,250000,2025-06-30,17,1595,1,0.94,Brazil,Brazil,direito,193,74,sim
127,Marcondes,Vila Nova,"RCB, LCB",30,250000,2023-11-30,17,1053,0,0.64,Brazil,Brazil,direito,184,83,sim
130,Éverton Alemão,Brusque,RCB,30,250000,2023-11-30,33,3080,2,1.98,Brazil,Brazil,direito,185,80,sim
131,Nilson Júnior,Sepahan,LCB,32,250000,2024-06-30,2,138,0,0.0,Brazil,Brazil,esquerdo,190,73,sim
137,Brendon Lucas,Hồ Chí Minh City,"RCB, LCB",28,250000,2024-06-30,19,1642,0,1.79,Brazil,Brazil,direito,188,80,sim
138,Thalisson Kelven,Mirassol,RCB,25,250000,2024-05-31,38,3745,2,1.68,Brazil,Brazil,direito,184,79,sim
141,João Victor,Vitória,"RCB, LCB, CB",26,250000,2024-12-31,21,1515,0,2.52,Brazil,Brazil,direito,188,80,sim
144,P. Magalhaes,Deportes Iquique,"RCB, RB",33,250000,2023-12-31,4,348,0,0.0,Brazil,"Brazil, Chile",direito,177,75,sim
148,Rafael Vaz,Londrina,LCB,35,250000,2023-11-30,40,3897,2,3.44,Brazil,Brazil,esquerdo,188,84,sim
151,Paulo Vinícius,BVSC,"RCB, CB, LCB",33,250000,2024-06-30,21,1909,1,1.46,Brazil,"Brazil, Hungary",direito,184,77,sim
153,Rafael Donato,Vila Nova,RCB,34,250000,2023-12-31,46,4444,3,4.85,Brazil,Brazil,direito,193,100,sim
155,Frazan,Ituano,RCB,27,250000,2023-12-31,17,1368,0,0.39,Brazil,Brazil,direito,188,79,sim
156,Sávio,Rio Ave,"LCB, LB, LWB",28,250000,2025-06-30,23,785,0,0.05,Brazil,Brazil,esquerdo,173,69,sim
158,Titi,Fortaleza,LCB,35,250000,2024-12-31,59,5694,1,2.01,Brazil,"Brazil, Italy",esquerdo,188,83,sim
159,Ligger,Grêmio Novorizontino,"LCB, CB",35,250000,2023-11-30,23,1827,0,1.12,Brazil,Brazil,esquerdo,187,83,sim
160,Renato,Grêmio Novorizontino,"LCB, CB",32,250000,2024-04-30,33,3004,0,1.09,Brazil,Brazil,direito,190,89,sim
162,L. Soldá,Sukhothai,RCB,30,250000,2023-11-30,23,2061,0,1.86,Brazil,"Brazil, Italy",direito,193,91,sim
163,Arthur Félix,Londrina,RCB,33,225000,2023-11-30,7,682,1,0.97,Brazil,Brazil,direito,190,85,sim
165,Hugo Figueiredo,Hegelmann Litauen,"LCB, LB",31,225000,2023-12-31,36,3277,5,1.99,Brazil,"Brazil, Portugal",esquerdo,183,78,sim
166,Eduardo Mancha,Ventforet Kofu,LCB,27,225000,2024-01-31,31,2448,2,1.65,Brazil,Brazil,esquerdo,187,80,sim
171,Maurício,Chapecoense,RCB,34,200000,2023-11-30,8,679,0,0.21,Brazil,Brazil,direito,185,83,sim
173,Paulo Sérgio,Operário PR,"CB, RCB",34,200000,2023-12-31,9,704,0,0.22,Brazil,Brazil,direito,186,83,sim
178,Jefferson,Al Qaisoma,"RCB, RDMF, CB",30,200000,2024-06-30,24,2039,1,0.97,Brazil,Brazil,direito,190,83,sim
181,Mauricio Barbosa,Portuguesa RJ,"RCB, CB",28,200000,2024-04-10,12,1197,0,0.53,Brazil,Brazil,direito,198,93,sim
184,N. Rizzo,Triestina,"LCB, LB",23,200000,2024-06-30,21,1478,1,0.82,Italy,"Italy, Brazil",esquerdo,188,78,sim
187,Lucas Dias,Botafogo SP,RCB,28,200000,2024-12-05,25,1872,0,1.15,Brazil,Brazil,direito,191,82,sim
188,Reniê,Mirassol,LCB,34,200000,2023-11-30,8,573,0,0.13,Brazil,Brazil,direito,183,80,sim
190,Rodrigo,Criciúma,RCB,36,200000,2023-12-31,51,5153,0,3.16,Brazil,Brazil,direito,187,80,sim
193,Réver,Atlético Mineiro,LCB,38,200000,2023-12-31,20,891,0,0.36,Brazil,Brazil,direito,192,83,sim
194,Brinner,Uthai Thani,"RCB, CB, LCB",36,200000,2024-05-31,34,3327,2,2.8,Brazil,Brazil,direito,189,73,sim
195,Mateus Moraes,Yokohama,LCB,22,200000,2024-01-31,21,1741,0,0.3,Brazil,Brazil,esquerdo,188,74,sim
201,Gabriel Xavier,Bahia,"RCB, LCB",22,200000,2025-12-31,24,2032,1,1.69,Brazil,Brazil,direito,190,85,sim
202,Igor Gómes,Internacional,"RB, RCB",22,200000,2023-12-31,29,1674,1,1.81,Brazil,Brazil,direito,185,76,sim
204,Cleylton,Chapecoense,"RCB, LCB",30,200000,2023-11-30,10,656,0,0.47,Brazil,Brazil,direito,190,83,sim
206,Henrique,Coritiba,"LCB, CB",37,200000,2023-12-31,26,2487,0,1.06,Brazil,Brazil,direito,185,85,sim
207,P. Casagrande Oliveira,Sporting Covilhã,"CB, RCB, LCB",24,200000,2024-06-30,17,1282,2,1.55,Brazil,Brazil,direito,186,78,sim
208,Brunão,Turan-T,"RCB, LCB",26,200000,2024-06-30,34,3017,4,4.59,Brazil,Brazil,direito,188,80,sim
209,Matias Antonini,Taranto,CB,25,200000,2025-06-30,37,3618,5,1.74,Brazil,"Brazil, Italy",direito,191,80,sim
212,David Braz,Fluminense,LCB,36,200000,2024-06-30,30,1778,0,1.1,Brazil,Brazil,direito,188,86,sim
213,Matheus,Atyrau,"RCB, LCB",32,200000,2023-12-31,21,1538,0,0.65,Brazil,"Brazil, Portugal",direito,188,88,sim
214,Douglas Mendes,Liefering,RCB,19,200000,2027-06-30,19,1098,0,0.84,Brazil,Brazil,direito,189,78,sim
215,Luizão,Radomiak Radom,"RCB, RDMF, RCMF",25,200000,2025-06-30,15,1143,0,0.23,Brazil,Brazil,direito,184,66,sim
221,Micael,Houston Dynamo,"LCB, LB",23,175000,2024-12-31,33,2970,1,1.63,Brazil,Brazil,esquerdo,183,82,sim
222,Nailson,Al Jabalain,LCB,29,175000,2024-06-30,27,2790,3,2.09,Brazil,Brazil,esquerdo,191,86,sim
225,Erivaldo Almeida,Estrela Amadora,"LCB, RCB",23,175000,2023-12-31,11,792,0,0.26,Brazil,Brazil,esquerdo,189,77,sim
227,Rafael Vitor,Penang,"LCB, CB",30,175000,2023-11-30,28,2718,4,4.92,Brazil,Brazil,direito,192,78,sim
230,João Vialle,Pouso Alegre,"RCB, RB",21,150000,2024-12-31,16,1374,0,0.35,Brazil,Brazil,direito,184,81,sim
231,Didi,Avaí,LCB,32,150000,2023-11-30,21,1998,1,0.59,Brazil,Brazil,direito,184,78,sim
236,Robson Reis,Paços de Ferreira,"RCB, CB",23,150000,2024-12-31,4,65,0,0.0,Brazil,Brazil,direito,195,87,sim
241,Titi,Guarani,"LCB, LB",21,150000,2024-02-11,6,502,1,0.16,Brazil,Brazil,esquerdo,187,79,sim
242,Mateus Silva,Ponte Preta,RCB,28,150000,2023-12-31,41,3901,3,3.84,Brazil,Brazil,direito,192,92,sim
244,Heitor,Levadia,"RCB, LCB",23,150000,2023-12-31,24,2042,3,1.98,Brazil,Brazil,direito,0,0,sim
247,Wálber,Guarani,"RCB, LCB",26,150000,2024-12-31,29,2196,0,0.26,Brazil,Brazil,direito,186,80,sim
248,Roberto Dias,Al Kholood,RCB,35,150000,2024-06-30,33,3438,2,1.06,Brazil,"Brazil, Portugal",direito,188,86,sim
249,Felipe Melo,Fluminense,LCB,40,150000,2024-12-31,45,2435,3,1.59,Brazil,"Brazil, Spain",direito,183,80,sim
250,Pará,Sampaio Corrêa,"LB, LCB",36,150000,2024-12-31,16,1264,0,0.4,Brazil,Brazil,esquerdo,172,73,sim
252,Rayan,Criciúma,LCB,33,150000,2023-12-31,27,2364,0,1.92,Brazil,Brazil,esquerdo,185,75,sim
256,Saimon,CRB,RCB,32,150000,2023-12-31,22,1612,0,0.31,Brazil,Brazil,direito,185,79,sim
258,Cleiton,Flamengo,LCB,20,150000,2024-12-31,18,1779,0,1.19,Brazil,Brazil,esquerdo,188,75,sim
260,Anderson,Persik Kediri,RCB,30,150000,2024-06-30,29,2729,2,2.89,Brazil,Brazil,direito,0,0,sim
261,Bruno Oliveira,Velež,"LCB, LB",27,150000,2024-05-31,21,1646,0,0.29,Brazil,Brazil,esquerdo,186,0,sim
265,Alisson Cassiano,Sport Recife,"RCB, LCB",29,150000,2023-11-30,23,1845,1,1.54,Brazil,Brazil,direito,187,83,sim
267,Isaque Gavioli,Leixões,RCB,22,125000,2025-06-30,5,345,0,0.0,Brazil,Brazil,direito,189,83,sim
272,Walisson Maia,Criciúma,LCB,32,125000,2023-11-30,36,3229,0,0.77,Brazil,Brazil,direito,187,81,sim
274,Allyson,Cuiabá,"RCB, LCB",33,125000,2024-12-31,17,1375,0,0.61,Brazil,Brazil,direito,184,78,sim
285,Henrique Vermudt,Botafogo,RCB,24,100000,2024-12-31,1,65,0,0.0,Brazil,Brazil,direito,180,76,sim
290,Felipe Camargo,Avaí,"LB, LCB",24,100000,2023-12-31,4,123,0,0.0,Brazil,Brazil,esquerdo,188,74,sim
293,Gustavo Rissi,Miami,"LWB, LB, LCB",25,100000,2023-11-30,13,774,0,0.24,Brazil,Brazil,direito,184,72,sim
294,Ulisses,Nacional,RCB,24,100000,2024-12-31,6,480,1,0.89,Brazil,Brazil,direito,186,80,sim
296,Matheus Mega,CRB,"RCB, LCB, RB",24,100000,2023-12-31,8,649,0,0.49,Brazil,Brazil,direito,188,81,sim
300,Zé Vitor,Tombense,LCB,22,100000,2023-12-31,18,1083,2,0.73,Brazil,Brazil,esquerdo,189,86,sim
302,Reverson,Grêmio Novorizontino,"LWB, LCB, LB",26,100000,2023-12-31,36,2912,2,1.85,Brazil,Brazil,esquerdo,175,71,sim
303,Renzo,Sport Recife,RCB,22,100000,2025-12-31,4,318,1,0.04,Brazil,Brazil,esquerdo,184,78,sim
305,Derick,Pouso Alegre,RCB,21,100000,2026-03-31,7,460,0,0.66,Brazil,Brazil,direito,193,84,sim
306,Hélder,Criciúma,"LB, LCB",35,100000,2023-11-30,29,1892,1,0.24,Brazil,Brazil,esquerdo,179,81,sim
307,Matheus Mancini,Criciúma,LCB,29,100000,2023-12-31,18,1384,0,0.25,Brazil,"Brazil, Italy",esquerdo,190,75,sim
308,Venicio,Shijiazhuang Gongfu,"LCB, RCB",29,100000,2023-12-31,32,2450,3,1.81,Brazil,Brazil,direito,188,83,sim
309,Felipe Silva,Gil Vicente,LCB,21,100000,2025-12-31,27,2622,2,1.94,Brazil,Brazil,esquerdo,190,78,sim
311,Xandão,Varzim,LCB,33,100000,2023-11-30,29,2791,2,1.32,Brazil,Brazil,esquerdo,189,82,sim
314,Alíx Vinícius,Atlético GO,"RCB, LCB",23,100000,2023-11-30,29,2555,2,3.41,Brazil,Brazil,direito,195,76,sim
315,Allan Godói,Operário PR,RCB,30,100000,2023-12-31,21,1977,0,0.28,Brazil,Brazil,direito,187,81,sim
316,Matheus Salustiano,São Bernardo FC,CB,30,100000,2023-11-15,34,3374,0,0.69,Brazil,Brazil,direito,183,76,sim
317,Charleston,Maqtaaral,LCB,27,100000,2023-12-31,16,1494,1,0.98,Brazil,Brazil,esquerdo,195,73,sim
318,Pedro Carrerette,Botafogo PB,LCB,24,100000,2023-11-30,25,2463,2,1.34,Brazil,Brazil,direito,188,88,sim
319,Joécio,Náutico,LCB,37,100000,2023-11-30,20,1736,2,1.92,Brazil,Brazil,direito,189,70,sim
321,Raphael Rodrigues,Confiança,RCB,24,100000,2024-12-31,14,1251,0,0.26,Brazil,Brazil,direito,183,69,sim
322,Bruno Silva,Grêmio Novorizontino,"CB, LCMF, RCMF",35,100000,2023-11-30,11,696,0,0.43,Brazil,Brazil,direito,183,82,sim
325,Rafael Pereira,Ituano,"RCB, LCB",38,100000,2023-11-30,34,2558,0,0.94,Brazil,Brazil,direito,181,78,sim
329,Y. Victor,Kelantan United,"RCB, CB",28,100000,2023-11-30,16,1561,1,2.13,Brazil,Brazil,direito,189,82,sim
335,Alan Henrique,Mariehamn,"RCB, LCB",32,100000,2023-12-31,23,1732,0,0.94,Brazil,Brazil,direito,189,78,sim
337,Luan,Londrina,"RCB, LCB, RCMF",22,100000,2024-12-31,5,220,0,0.25,Brazil,"Brazil, Portugal",direito,184,75,sim
338,Igor Ribeiro,Araz,"LCB, LB",27,100000,2023-12-31,32,2833,0,0.32,Brazil,Brazil,direito,188,78,sim
340,Doma,Vila Nova,LCB,25,100000,2023-12-31,45,4466,4,4.18,Brazil,Brazil,direito,186,79,sim
341,Wesley,Tombense,RCB,23,100000,2023-12-31,22,2110,1,0.62,Brazil,Brazil,direito,190,78,sim
342,Jhonnathan,ABC,"LB, LCB",22,100000,2026-04-30,21,1622,2,0.43,Brazil,Brazil,esquerdo,186,84,sim
345,Gustavo Martins,Grêmio,RCB,21,100000,2025-12-31,23,1108,2,1.18,Brazil,Brazil,direito,191,77,sim
354,Lucas Turci,Memphis 901,LCB,27,75000,2023-11-30,32,2027,2,1.51,Brazil,Brazil,ambos,192,0,sim
359,D. Navarro,North Carolina FC,"RCB, LCB",32,75000,2023-11-30,14,1242,0,0.96,United States,"United States, Brazil",direito,185,82,sim
363,Zé Pedro,Camboriú,"RCB, LCB",23,50000,2023-12-31,10,860,0,0.07,Brazil,Brazil,direito,194,85,sim
366,T. Barbosa,CSKA 1948 Sofia II,"RCB, LCB",22,50000,2024-06-30,17,1506,1,1.05,Brazil,Brazil,direito,196,84,sim
367,Walfrido,ABC,"RCB, RCMF",29,50000,2023-12-31,14,1010,2,0.61,Brazil,Brazil,direito,187,77,sim
369,João Maistro,Atlético GO,RCB,23,50000,2024-12-30,19,1687,2,0.68,Brazil,Brazil,direito,185,78,sim
371,Richardson,Náutico,"LCB, RCB",31,50000,2024-05-31,38,3322,1,2.22,Brazil,Brazil,direito,183,81,sim
372,Patrick,Zakho,"LCB, RCB",29,50000,2023-12-31,26,2583,3,1.87,Brazil,Brazil,direito,189,78,sim
373,Fábio Aguiar,Sampaio Corrêa,LCB,34,50000,2023-11-30,19,1744,2,1.1,Brazil,Brazil,direito,186,78,sim
375,Gustavo Henrique,Sampaio Corrêa,RCB,24,50000,2023-11-30,37,3432,0,0.34,Brazil,Brazil,direito,192,88,sim
377,Léo Silva,Ararat-Armenia,"RCB, LCB",23,50000,2023-11-30,28,2410,0,0.94,Brazil,Brazil,direito,184,79,sim
379,Claudinho,Ituano,RCB,33,50000,2023-11-30,36,3191,1,1.61,Brazil,Brazil,direito,183,82,sim
380,Rodrigo Sam,Mirassol,RCB,28,50000,2025-04-11,32,2459,0,0.65,Brazil,Brazil,direito,185,74,sim
381,Marcel Scalese,Ituano,LCB,27,50000,2024-04-15,35,2948,1,0.93,Brazil,Brazil,esquerdo,190,83,sim
382,Marco Antônio,Vitória,"LCB, RCMF, RDMF",23,50000,2024-12-31,20,1365,0,1.12,Brazil,Brazil,direito,178,75,sim
383,Luiz Gustavo,Juventude,"RCB, RB",29,50000,2023-11-30,23,1768,1,0.66,Brazil,Brazil,direito,180,67,sim
384,Alan Santos,Guarani,RCB,32,50000,2023-12-31,29,2600,0,1.35,Brazil,Brazil,direito,184,78,sim
387,Carlinhos,Botafogo SP,"RCB, CB",28,50000,2024-12-10,17,1476,0,0.56,Brazil,Brazil,direito,190,79,sim
396,Afonso,ABC,"RCB, CB",29,50000,2024-05-31,36,3275,2,1.4,Brazil,Brazil,direito,186,89,sim
399,Adriano Martins,Grêmio Novorizontino,RCB,26,50000,2023-12-31,43,4143,2,4.17,Brazil,Brazil,direito,193,87,sim
400,Thomás Kayck,Ponte Preta,LCB,27,50000,2024-04-30,26,2208,0,0.17,Brazil,Brazil,esquerdo,192,80,sim
